record_id,abstract,authors,citationCount,externalIds,fieldsOfStudy,influentialCitationCount,isOpenAccess,journal,paperId,publicationDate,publicationTypes,referenceCount,s2FieldsOfStudy,title,url,venue,year,Included,asreview_ranking,relevancy
1,"We revisit the classic semiparametric problem of inference on a low dimensional parameter θ_0 in the presence of high-dimensional nuisance parameters η_0. We depart from the classical setting by allowing for η_0 to be so high-dimensional that the traditional assumptions, such as Donsker properties, that limit complexity of the parameter space for this object break down. To estimate η_0, we consider the use of statistical or machine learning (ML) methods which are particularly well-suited to estimation in modern, very high-dimensional cases. ML methods perform well by employing regularization to reduce variance and trading off regularization bias with overfitting in practice. However, both regularization bias and overfitting in estimating η_0 cause a heavy bias in estimators of θ_0 that are obtained by naively plugging ML estimators of η_0 into estimating equations for θ_0. This bias results in the naive estimator failing to be N^(-1/2) consistent, where N is the sample size. We show that the impact of regularization bias and overfitting on estimation of the parameter of interest θ_0 can be removed by using two simple, yet critical, ingredients: (1) using Neyman-orthogonal moments/scores that have reduced sensitivity with respect to nuisance parameters to estimate θ_0, and (2) making use of cross-fitting which provides an efficient form of data-splitting. We call the resulting set of methods double or debiased ML (DML). We verify that DML delivers point estimators that concentrate in a N^(-1/2)-neighborhood of the true parameter values and are approximately unbiased and normally distributed, which allows construction of valid confidence statements. The generic statistical theory of DML is elementary and simultaneously relies on only weak theoretical requirements which will admit the use of a broad array of modern ML methods for estimating the nuisance parameters such as random forests, lasso, ridge, deep neural nets, boosted trees, and various hybrids and ensembles of these methods. We illustrate the general theory by applying it to provide theoretical properties of DML applied to learn the main regression parameter in a partially linear regression model, DML applied to learn the coefficient on an endogenous variable in a partially linear instrumental variables model, DML applied to learn the average treatment effect and the average treatment effect on the treated under unconfoundedness, and DML applied to learn the local average treatment effect in an instrumental variables setting. In addition to these theoretical applications, we also illustrate the use of DML in three empirical examples.","[{'authorId': '26331346', 'externalIds': {'DBLP': ['Victor Chernozhukov']}, 'url': 'https://www.semanticscholar.org/author/26331346', 'name': 'V. Chernozhukov', 'aliases': ['V. Chernozhukov', 'Victor Chernozhukov'], 'affiliations': [], 'homepage': None, 'paperCount': 286, 'citationCount': 22463, 'hIndex': 70}, {'authorId': '88741529', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/88741529', 'name': 'D. Chetverikov', 'aliases': ['D. Chetverikov', 'D. N. Chetverikov', 'Denis Chetverikov'], 'affiliations': [], 'homepage': None, 'paperCount': 49, 'citationCount': 3966, 'hIndex': 25}, {'authorId': '88741890', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/88741890', 'name': 'Mert Demirer', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 17, 'citationCount': 2139, 'hIndex': 10}, {'authorId': '2259683', 'externalIds': {'DBLP': ['Esther Duflo']}, 'url': 'https://www.semanticscholar.org/author/2259683', 'name': 'E. Duflo', 'aliases': ['E. Duflo', 'Esther Duflo', 'Esther C. Duflo'], 'affiliations': [], 'homepage': None, 'paperCount': 288, 'citationCount': 56552, 'hIndex': 88}, {'authorId': '144613163', 'externalIds': {'DBLP': ['Christian Hansen 0001', 'Christian Hansen 0004', 'Christian Schütt Hansen']}, 'url': 'https://www.semanticscholar.org/author/144613163', 'name': 'Christian Hansen', 'aliases': ['Christian Ruegaard Hansen', 'Christian Rønn Hansen', 'Christian Sandbjerg Hansen', 'Christian Hansen', 'Christian Fondation Dan Hansen', 'C. Hansen', 'Christian Lorens Hansen', 'Christian Schütt Hansen', 'Christiane Hansen', 'Christi Hansen'], 'affiliations': [], 'homepage': None, 'paperCount': 115, 'citationCount': 8428, 'hIndex': 30}, {'authorId': '3646527', 'externalIds': {'DBLP': ['Whitney Newey']}, 'url': 'https://www.semanticscholar.org/author/3646527', 'name': 'W. Newey', 'aliases': ['W K Newey', 'Whitney K. Newey', 'Whitney K Newey', 'Whitney Newey'], 'affiliations': [], 'homepage': None, 'paperCount': 205, 'citationCount': 49643, 'hIndex': 68}, {'authorId': '145607066', 'externalIds': {'DBLP': ['James M. Robins']}, 'url': 'https://www.semanticscholar.org/author/145607066', 'name': 'J. Robins', 'aliases': ['J M Robins', 'James M Robins', 'James Robins', 'J. Mannix Robins', 'J Robins', 'J. M Robins', 'James M. Robins', 'J. M. Robins'], 'affiliations': [], 'homepage': None, 'paperCount': 402, 'citationCount': 65104, 'hIndex': 113}]",1113,"{'MAG': '2890118063', 'DOI': '10.1111/ectj.12097', 'CorpusId': 21698746}",['Mathematics'],321,TRUE,{'name': 'Econometrics: Econometric & Statistical Methods - Special Topics eJournal'},f75b70c9d7078724b592ec3e21de705e7b6ff73f,2017-06-01,,97,"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",Double/Debiased Machine Learning for Treatment and Structural Parameters,https://www.semanticscholar.org/paper/f75b70c9d7078724b592ec3e21de705e7b6ff73f,,2017,1,2,30.91666667
2,"In this paper we study the problems of estimating heterogeneity in causal effects in experimental or observational studies and conducting inference about the magnitude of the differences in treatment effects across subsets of the population. In applications, our method provides a data-driven approach to determine which subpopulations have large or small treatment effects and to test hypotheses about the differences in these effects. For experiments, our method allows researchers to identify heterogeneity in treatment effects that was not specified in a pre-analysis plan, without concern about invalidating inference due to multiple testing. In most of the literature on supervised machine learning (e.g. regression trees, random forests, LASSO, etc.), the goal is to build a model of the relationship between a unit’s attributes and an observed outcome. A prominent role in these methods is played by cross-validation which compares predictions to actual outcomes in test samples, in order to select the level of complexity of the model that provides the best predictive power. Our method is closely related, but it differs in that it is tailored for predicting causal effects of a treatment rather than a unit’s outcome. The challenge is that the “ground truth” for a causal effect is not observed for any individual unit: we observe the unit with the treatment, or without the treatment, but not both at the same time. Thus, it is not obvious how to use cross-validation to determine whether a causal effect has been accurately predicted. We propose several novel cross-validation criteria for this problem and demonstrate through simulations the conditions under which they perform better than standard methods for the problem of causal effects. We then apply the method to a large-scale field experiment re-ranking results on a search engine.","[{'authorId': '2631417', 'externalIds': {'DBLP': ['Susan Athey']}, 'url': 'https://www.semanticscholar.org/author/2631417', 'name': 'S. Athey', 'aliases': ['Susan C. Athey', 'Susan Athey', 'S. Athey', 'S Athey', 'Susan Carleton Athey'], 'affiliations': [], 'homepage': None, 'paperCount': 199, 'citationCount': 19041, 'hIndex': 62}, {'authorId': '47166531', 'externalIds': {'DBLP': ['Guido Imbens']}, 'url': 'https://www.semanticscholar.org/author/47166531', 'name': 'G. Imbens', 'aliases': ['G W Imbens', 'Guido W Imbens', 'G. Imbens', 'Guido W. Imbens', 'Guido Imbens', 'G. W. Imbens'], 'affiliations': [], 'homepage': None, 'paperCount': 235, 'citationCount': 50702, 'hIndex': 82}]",197,{'CorpusId': 17421999},,28,FALSE,,86ce004214845a1683d59b64c4363a067d342cac,,,42,"[{'category': 'Computer Science', 'source': 's2-fos-model'}]",Machine Learning Methods for Estimating Heterogeneous Causal Effects∗,https://www.semanticscholar.org/paper/86ce004214845a1683d59b64c4363a067d342cac,,2015,1,3,3.078125
4,"The network interference model for causal inference places all experimental units at the vertices of an undirected exposure graph, such that treatment assigned to one unit may affect the outcome of another unit if and only if these two units are connected by an edge. This model has recently gained popularity as means of incorporating interference effects into the Neyman--Rubin potential outcomes framework; and several authors have considered estimation of various causal targets, including the direct and indirect effects of treatment. In this paper, we consider large-sample asymptotics for treatment effect estimation under network interference in a setting where the exposure graph is a random draw from a graphon. When targeting the direct effect, we show that---in our setting---popular estimators are considerably more accurate than existing results suggest, and provide a central limit theorem in terms of moments of the graphon. Meanwhile, when targeting the indirect effect, we leverage our generative assumptions to propose a consistent estimator in a setting where no other consistent estimators are currently available. We also show how our results can be used to conduct a practical assessment of the sensitivity of randomized study inference to potential interference effects. Overall, our results highlight the promise of random graph asymptotics in understanding the practicality and limits of causal inference under network interference.","[{'authorId': '104188017', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/104188017', 'name': 'Shuangning Li', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 13, 'citationCount': 64, 'hIndex': 4}, {'authorId': '3160667', 'externalIds': {'DBLP': ['Stefan Wager']}, 'url': 'https://www.semanticscholar.org/author/3160667', 'name': 'Stefan Wager', 'aliases': ['Stefan Wager'], 'affiliations': [], 'homepage': None, 'paperCount': 112, 'citationCount': 6464, 'hIndex': 29}]",25,"{'MAG': '3044422675', 'ArXiv': '2007.13302', 'DOI': '10.1214/22-aos2191', 'CorpusId': 220793511}",['Mathematics'],3,TRUE,{'name': 'The Annals of Statistics'},9991bad8f963d598aaf758ad4f523fe21e2ca714,2020-07-27,,42,"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",Random graph asymptotics for treatment effect estimation under network interference,https://www.semanticscholar.org/paper/9991bad8f963d598aaf758ad4f523fe21e2ca714,Annals of Statistics,2020,1,5,2.777777778
5,"ABSTRACT We study the calculation of exact p-values for a large class of nonsharp null hypotheses about treatment effects in a setting with data from experiments involving members of a single connected network. The class includes null hypotheses that limit the effect of one unit’s treatment status on another according to the distance between units, for example, the hypothesis might specify that the treatment status of immediate neighbors has no effect, or that units more than two edges away have no effect. We also consider hypotheses concerning the validity of sparsification of a network (e.g., based on the strength of ties) and hypotheses restricting heterogeneity in peer effects (so that, e.g., only the number or fraction treated among neighboring units matters). Our general approach is to define an artificial experiment, such that the null hypothesis that was not sharp for the original experiment is sharp for the artificial experiment, and such that the randomization analysis for the artificial experiment is validated by the design of the original experiment.","[{'authorId': '2631417', 'externalIds': {'DBLP': ['Susan Athey']}, 'url': 'https://www.semanticscholar.org/author/2631417', 'name': 'S. Athey', 'aliases': ['Susan C. Athey', 'Susan Athey', 'S. Athey', 'S Athey', 'Susan Carleton Athey'], 'affiliations': [], 'homepage': None, 'paperCount': 199, 'citationCount': 19041, 'hIndex': 62}, {'authorId': '1996878', 'externalIds': {'DBLP': ['Dean Eckles']}, 'url': 'https://www.semanticscholar.org/author/1996878', 'name': 'Dean Eckles', 'aliases': ['Dean Eckles'], 'affiliations': [], 'homepage': None, 'paperCount': 71, 'citationCount': 3369, 'hIndex': 27}, {'authorId': '47166531', 'externalIds': {'DBLP': ['Guido Imbens']}, 'url': 'https://www.semanticscholar.org/author/47166531', 'name': 'G. Imbens', 'aliases': ['G W Imbens', 'Guido W Imbens', 'G. Imbens', 'Guido W. Imbens', 'Guido Imbens', 'G. W. Imbens'], 'affiliations': [], 'homepage': None, 'paperCount': 235, 'citationCount': 50702, 'hIndex': 82}]",177,"{'MAG': '2952460941', 'ArXiv': '1506.02084', 'DOI': '10.1080/01621459.2016.1241178', 'CorpusId': 88514331}",['Mathematics'],21,TRUE,"{'name': 'Journal of the American Statistical Association', 'pages': '230 - 240', 'volume': '113'}",35699b191cc63aefc774f7691c27e10a2803946a,2015-06-05,,49,"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",Exact p-Values for Network Interference,https://www.semanticscholar.org/paper/35699b191cc63aefc774f7691c27e10a2803946a,,2015,1,6,2.765625
0,"
 
 We propose a novel approach for constructing effective treatment policies when the observed data is biased and lacks counterfactual information. Learning in settings where the observed data does not contain all possible outcomes for all treatments is difficult since the observed data is typically biased due to existing clinical guidelines. This is an important problem in the medical domain as collecting unbiased data is expensive and so learning from the wealth of existing biased data is a worthwhile task. Our approach separates the problem into two stages: first we reduce the bias by learning a representation map using a novel auto-encoder network---this allows us to control the trade-off between the bias-reduction and the information loss---and then we construct effective treatment policies on the transformed data using a novel feedforward network. Separation of the problem into these two stages creates an algorithm that can be adapted to the problem at hand---the bias-reduction step can be performed as a preprocessing step for other algorithms. We compare our algorithm against state-of-art algorithms on two semi-synthetic datasets and demonstrate that our algorithm achieves a significant improvement in performance.
 
","[{'authorId': '2562953', 'externalIds': {'DBLP': ['Onur Atan']}, 'url': 'https://www.semanticscholar.org/author/2562953', 'name': 'Onur Atan', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 25, 'citationCount': 599, 'hIndex': 11}, {'authorId': '37996637', 'externalIds': {'DBLP': ['James Jordon']}, 'url': 'https://www.semanticscholar.org/author/37996637', 'name': 'James Jordon', 'aliases': ['James M. Jordon'], 'affiliations': [], 'homepage': None, 'paperCount': 24, 'citationCount': 1468, 'hIndex': 12}, {'authorId': '1729969', 'externalIds': {'DBLP': ['Mihaela van der Schaar', 'Mihaela van der Schaar-Mitrea']}, 'url': 'https://www.semanticscholar.org/author/1729969', 'name': 'M. Schaar', 'aliases': ['Mihaela Van Der Schaar', 'Mihaela Der Van Schaar', 'M. Van Der Schaar', 'Mihaela Van-der Schaar', 'Mihaela Schaar', 'Mihaela Van Der Schaar Schaar'], 'affiliations': [], 'homepage': None, 'paperCount': 770, 'citationCount': 15850, 'hIndex': 59}]",51,"{'MAG': '2788624168', 'DBLP': 'conf/aaai/AtanJS18', 'DOI': '10.1609/aaai.v32i1.11841', 'CorpusId': 19100865}",['Computer Science'],9,TRUE,{'pages': '2071-2078'},d612c974b9d15a8f762eec8c0843524e968aee13,2018-04-26,"['JournalArticle', 'Conference']",21,"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",Deep-Treat: Learning Optimal Personalized Treatments From Observational Data Using Neural Networks,https://www.semanticscholar.org/paper/d612c974b9d15a8f762eec8c0843524e968aee13,AAAI Conference on Artificial Intelligence,2018,1,1,2.04
3,"The broad adoption of social media has generated interest in leveraging peer inuence for inducing desired user behavior. Quantifying the causal effect of peer inuence presents technical challenges, however, including how to deal with social interference, complex response functions and network uncertainty. In this paper, we extend potential outcomes to allow for interference, we introduce well-defined causal estimands of peer-inuence, and we develop two estimation procedures: a frequentist procedure relying on a sequential randomization design that requires knowledge of the network but operates under complicated response functions, and a Bayesian procedure which accounts for network uncertainty but relies on a linear response assumption to increase estimation precision. Our results show the advantages and disadvantages of the proposed methods in a number of situations.","[{'authorId': '1776973', 'externalIds': {'DBLP': ['Panagiotis Toulis', 'Panos Toulis']}, 'url': 'https://www.semanticscholar.org/author/1776973', 'name': 'Panos Toulis', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 53, 'citationCount': 884, 'hIndex': 15}, {'authorId': '2186219', 'externalIds': {'DBLP': ['Edward K. Kao', 'Edward Kao']}, 'url': 'https://www.semanticscholar.org/author/2186219', 'name': 'E. Kao', 'aliases': ['E. K. Kao', 'Edward Kao', 'Edward K. Kao'], 'affiliations': [], 'homepage': None, 'paperCount': 28, 'citationCount': 467, 'hIndex': 11}]",144,"{'DBLP': 'conf/icml/ToulisK13', 'MAG': '2148349356', 'CorpusId': 13529313}",['Computer Science'],11,FALSE,{'pages': '1489-1497'},05a15bdfccdfca7d1d133caabae68ff01751c414,2013-06-16,"['JournalArticle', 'Conference']",27,"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",Estimation of Causal Peer Influence Effects,https://www.semanticscholar.org/paper/05a15bdfccdfca7d1d133caabae68ff01751c414,International Conference on Machine Learning,2013,1,4,1.44
6,"We consider inference about the causal effect of a treatment or exposure in the presence of interference, i.e., when one individual’s treatment affects the outcome of another individual. In the observational setting where the treatment assignment mechanism is not known, inverse probability-weighted estimators have been proposed when individuals can be partitioned into groups such that there is no interference between individuals in different groups. Unfortunately this assumption, which is sometimes referred to as partial interference, may not hold, and moreover existing weighted estimators may have large variances. In this paper we consider weighted estimators that could be employed when interference is present. We first propose a generalized inverse probability-weighted estimator and two Hájek-type stabilized weighted estimators that allow any form of interference. We derive their asymptotic distributions and propose consistent variance estimators assuming partial interference. Empirical results show that one of the Hájek estimators can have substantially smaller finite-sample variance than the other estimators. The different estimators are illustrated using data on the effects of rotavirus vaccination in Nicaragua.","[{'authorId': '120095807', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/120095807', 'name': 'L. Liu', 'aliases': ['L Liu', 'L. Liu'], 'affiliations': [], 'homepage': None, 'paperCount': 1, 'citationCount': 59, 'hIndex': 1}, {'authorId': '145807681', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/145807681', 'name': 'M. Hudgens', 'aliases': ['Michael G. Hudgens', 'M G Hudgens', 'Michael Hudgens', 'M. G. Hudgens', 'Michael G Hudgens', 'M Hudgens'], 'affiliations': [], 'homepage': None, 'paperCount': 343, 'citationCount': 10496, 'hIndex': 53}, {'authorId': '1398381614', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/1398381614', 'name': 'S. Becker-Dreps', 'aliases': ['Sylvia Becker‐dreps', 'S. Becker-dreps', 'Sylvia Becker-dreps', 'S Becker-dreps', 'Sylvia I Becker-dreps'], 'affiliations': [], 'homepage': None, 'paperCount': 95, 'citationCount': 1533, 'hIndex': 24}]",59,"{'PubMedCentral': '5793685', 'MAG': '2559748355', 'DOI': '10.1093/biomet/asw047', 'CorpusId': 46761881, 'PubMed': '29422692'}","['Mathematics', 'Medicine']",5,TRUE,"{'name': 'Biometrika', 'pages': '829 - 842', 'volume': '103'}",0b739563ef933ba1f0efbf5c9c946d9a303880f3,2016-12-01,['JournalArticle'],20,"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",On inverse probability-weighted estimators in the presence of interference,https://www.semanticscholar.org/paper/0b739563ef933ba1f0efbf5c9c946d9a303880f3,Biometrika,2016,1,7,1.204081633
9,"This paper studies nonparametric estimation of treatment and spillover effects using observational data from a single large network. We consider a model of network interference that allows for peer influence in selection into treatment or outcomes but requires influence to decay with network distance. In this setting, the network and covariates of all units can be potential sources of confounding, in contrast to existing work that assumes confounding is limited to a known, low-dimensional function of these objects. To estimate the first-stage nuisance functions of the doubly robust estimator, we propose to use graph neural networks, which are designed to approximate functions of graph-structured inputs. Under our model of interference, we derive primitive conditions for a network analog of approximate sparsity, which provides justification for the use of shallow architectures. JEL Codes: C14, C31, C45","[{'authorId': '48123217', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/48123217', 'name': 'Michael P. Leung', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 18, 'citationCount': 296, 'hIndex': 9}, {'authorId': '50980030', 'externalIds': {'DBLP': ['Pantelis Loupos']}, 'url': 'https://www.semanticscholar.org/author/50980030', 'name': 'Pantelis Loupos', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 5, 'citationCount': 5, 'hIndex': 2}]",1,"{'ArXiv': '2211.07823', 'CorpusId': 253523568}","['Economics', 'Mathematics']",1,FALSE,,613453e49d74674e1073cdbe824aada8554dfad3,2022-11-15,,66,"[{'category': 'Economics', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",Unconfoundedness with Network Interference,https://www.semanticscholar.org/paper/613453e49d74674e1073cdbe824aada8554dfad3,,2022,1,10,1
24,"We propose a matching method that recovers direct treatment effects from randomized experiments where units are connected in an observed network, and units that share edges can potentially influence each others' outcomes. Traditional treatment effect estimators for randomized experiments are biased and error prone in this setting. Our method matches units almost exactly on counts of unique subgraphs within their neighborhood graphs. The matches that we construct are interpretable and high-quality. Our method can be extended easily to accommodate additional unit-level covariate information. We show empirically that our method performs better than other existing methodologies for this problem, while producing meaningful, interpretable results.","[{'authorId': '2066319399', 'name': 'M. Awan'}, {'authorId': '72588620', 'name': 'Marco Morucci'}, {'authorId': '1515535466', 'name': 'Vittorio Orlandi'}, {'authorId': '31938009', 'name': 'Sudeepa Roy'}, {'authorId': '48395540', 'name': 'C. Rudin'}, {'authorId': '6974508', 'name': 'A. Volfovsky'}]",9,"{'MAG': '3008026023', 'DBLP': 'journals/corr/abs-2003-00964', 'ArXiv': '2003.00964', 'CorpusId': 211677376}","['Mathematics', 'Computer Science']",0,FALSE,{'pages': '3252-3262'},ecfcc680b01a6d3aa571455b0d07e0d33c275def,2020-03-02,['JournalArticle'],46,"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",Almost-Matching-Exactly for Treatment Effect Estimation under Network Interference,https://www.semanticscholar.org/paper/ecfcc680b01a6d3aa571455b0d07e0d33c275def,International Conference on Artificial Intelligence and Statistics,2020,1,25,1
7,"Interference occurs when the treatment (or exposure) of one individual affects the outcomes of others. In some settings, it may be reasonable to assume that individuals can be partitioned into clusters such that there is no interference between individuals in different clusters, that is, there is partial interference. In observational studies with partial interference, inverse probability weighted (IPW) estimators have been something else different possible treatment effects. However, the validity of IPW estimators depends on the propensity score being known or correctly modelled. Alternatively, one can estimate the treatment effect using an outcome regression model. In this paper, we propose doubly robust (DR) estimators that utilize both models and are consistent and asymptotically normal if either model, but not necessarily both, is correctly specified. Empirical results are presented to demonstrate the DR property of the proposed estimators and the efficiency gain of DR over IPW estimators when both models are correctly specified. The different estimators are illustrated using data from a study examining the effects of cholera vaccination in Bangladesh.","[{'authorId': '2116205203', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/2116205203', 'name': 'Lan Liu', 'aliases': None, 'affiliations': [], 'homepage': None, 'paperCount': 17, 'citationCount': 211, 'hIndex': 6}, {'authorId': '145807681', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/145807681', 'name': 'M. Hudgens', 'aliases': ['Michael G. Hudgens', 'M G Hudgens', 'Michael Hudgens', 'M. G. Hudgens', 'Michael G Hudgens', 'M Hudgens'], 'affiliations': [], 'homepage': None, 'paperCount': 343, 'citationCount': 10496, 'hIndex': 53}, {'authorId': '6232707', 'externalIds': {}, 'url': 'https://www.semanticscholar.org/author/6232707', 'name': 'Bradley C Saul', 'aliases': ['Bradley C. Saul', 'Bradley Saul'], 'affiliations': [], 'homepage': None, 'paperCount': 21, 'citationCount': 312, 'hIndex': 8}, {'authorId': '145409127', 'externalIds': {'DBLP': ['John Clemens', 'John D. Clemens']}, 'url': 'https://www.semanticscholar.org/author/145409127', 'name': 'J. Clemens', 'aliases': ['J.d. Clemens', 'J. D. Clemens', 'John D Clemens', 'John Daniel Clemens', 'J. Clemens', 'J D Clemens', 'John Clemens', 'John D. Clemens'], 'affiliations': [], 'homepage': None, 'paperCount': 172, 'citationCount': 10315, 'hIndex': 47}, {'authorId': '145701359', 'externalIds': {'DBLP': ['Mohammad Ali']}, 'url': 'https://www.semanticscholar.org/author/145701359', 'name': 'Mohammad Ali', 'aliases': ['Mohammad Fahad Ali'], 'affiliations': [], 'homepage': None, 'paperCount': 184, 'citationCount': 9602, 'hIndex': 51}, {'authorId': '2319059', 'externalIds': {'DBLP': ['Michael Emch']}, 'url': 'https://www.semanticscholar.org/author/2319059', 'name': 'M. Emch', 'aliases': ['Michael E. Emch', 'Mike Emch', 'Michael Emch', 'M. Emch', 'M Emch', 'Michael E Emch', 'M E Emch'], 'affiliations': [], 'homepage': None, 'paperCount': 207, 'citationCount': 6139, 'hIndex': 45}]",21,"{'ArXiv': '1806.07422', 'MAG': '2808882181', 'DOI': '10.1002/sta4.214', 'CorpusId': 68034559, 'PubMed': '31440374'}","['Medicine', 'Mathematics', 'Computer Science']",2,TRUE,"{'name': 'Stat', 'volume': '8'}",e0b921576948b1e64bf9bacc6a9c4c30b44c64aa,2018-06-19,['JournalArticle'],27,"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",Doubly robust estimation in observational studies with partial interference,https://www.semanticscholar.org/paper/e0b921576948b1e64bf9bacc6a9c4c30b44c64aa,Stat,2018,1,8,0.84
